seconds	current_backend	desired_backend	current_traefik	desired_traefik
1656436172	1.0	1.0	1.0	1.0
1656436173	1.0	1.0	1.0	1.0
1656436174	1.0	1.0	1.0	1.0
1656436175	1.0	1.0	1.0	1.0
1656436176	1.0	1.0	1.0	1.0
1656436177	1.0	1.0	1.0	1.0
1656436178	1.0	1.0	1.0	1.0
1656436179	1.0	1.0	1.0	1.0
1656436180	1.0	1.0	1.0	1.0
1656436181	1.0	1.0	1.0	1.0
1656436182	1.0	1.0	1.0	1.0
1656436183	1.0	1.0	1.0	1.0
1656436184	1.0	1.0	1.0	1.0
1656436185	1.0	1.0	1.0	1.0
1656436186	1.0	1.0	1.0	1.0
1656436187	1.0	1.0	1.0	1.0
1656436188	1.0	1.0	1.0	1.0
1656436189	1.0	1.0	1.0	1.0
1656436190	1.0	1.0	1.0	1.0
1656436191	1.0	1.0	1.0	1.0
1656436192	1.0	1.0	1.0	1.0
1656436193	1.0	1.0	1.0	1.0
1656436194	1.0	1.0	1.0	1.0
1656436195	1.0	1.0	1.0	1.0
1656436196	1.0	1.0	1.0	1.0
1656436197	1.0	1.0	1.0	1.0
1656436198	1.0	1.0	1.0	1.0
1656436199	1.0	1.0	1.0	1.0
1656436200	1.0	1.0	1.0	1.0
1656436201	1.0	1.0	1.0	1.0
1656436202	1.0	1.0	1.0	1.0
1656436203	1.0	1.0	1.0	1.0
1656436204	1.0	1.0	1.0	1.0
1656436205	1.0	1.0	1.0	1.0
1656436206	1.0	1.0	1.0	1.0
1656436207	1.0	1.0	1.0	1.0
1656436208	1.0	1.0	1.0	1.0
1656436209	1.0	1.0	1.0	1.0
1656436210	1.0	1.0	1.0	1.0
1656436211	1.0	1.0	1.0	1.0
1656436212	1.0	1.0	1.0	1.0
1656436213	1.0	1.0	1.0	1.0
1656436214	1.0	1.0	1.0	1.0
1656436215	1.0	1.0	1.0	1.0
1656436216	1.0	1.0	1.0	1.0
1656436217	1.0	1.0	1.0	1.0
1656436218	1.0	1.0	1.0	1.0
1656436219	1.0	1.0	1.0	1.0
1656436220	1.0	1.0	1.0	1.0
1656436221	1.0	1.0	1.0	1.0
1656436222	1.0	1.0	1.0	1.0
1656436223	1.0	1.0	1.0	1.0
1656436224	1.0	1.0	1.0	1.0
1656436225	1.0	1.0	1.0	1.0
1656436226	1.0	1.0	1.0	1.0
1656436227	1.0	1.0	1.0	1.0
1656436228	1.0	1.0	1.0	1.0
1656436229	1.0	1.0	1.0	1.0
1656436230	1.0	1.0	1.0	1.0
1656436231	1.0	1.0	1.0	1.0
1656436232	1.0	1.0	1.0	1.0
1656436233	1.0	1.0	1.0	1.0
1656436234	1.0	1.0	1.0	1.0
1656436235	1.0	1.0	1.0	1.0
1656436236	1.0	1.0	1.0	1.0
1656436237	1.0	1.0	1.0	1.0
1656436238	1.0	1.0	1.0	1.0
1656436239	1.0	1.0	1.0	1.0
1656436240	1.0	1.0	1.0	1.0
1656436241	1.0	1.0	1.0	1.0
1656436242	1.0	1.0	1.0	1.0
1656436243	1.0	1.0	1.0	1.0
1656436244	1.0	1.0	1.0	1.0
1656436245	1.0	1.0	1.0	1.0
1656436246	1.0	1.0	1.0	1.0
1656436247	1.0	1.0	1.0	1.0
1656436248	1.0	1.0	1.0	1.0
1656436249	1.0	1.0	1.0	1.0
1656436250	1.0	1.0	1.0	1.0
1656436251	1.0	1.0	1.0	1.0
1656436252	1.0	1.0	1.0	1.0
1656436253	1.0	1.0	1.0	1.0
1656436254	1.0	1.0	1.0	1.0
1656436255	1.0	1.0	1.0	1.0
1656436256	1.0	1.0	1.0	1.0
1656436257	1.0	1.0	1.0	1.0
1656436258	1.0	1.0	1.0	1.0
1656436259	1.0	1.0	1.0	1.0
1656436260	1.0	1.0	1.0	1.0
1656436261	1.0	1.0	1.0	1.0
1656436262	1.0	1.0	1.0	1.0
1656436263	1.0	1.0	1.0	1.0
1656436264	1.0	1.0	1.0	1.0
1656436265	1.0	1.0	1.0	1.0
1656436266	1.0	1.0	1.0	1.0
1656436267	1.0	1.0	1.0	1.0
1656436268	1.0	1.0	1.0	1.0
1656436269	1.0	1.0	1.0	1.0
1656436270	1.0	1.0	1.0	1.0
1656436271	1.0	1.0	1.0	1.0
1656436272	1.0	1.0	1.0	1.0
1656436273	1.0	1.0	1.0	1.0
1656436274	1.0	1.0	1.0	1.0
1656436275	1.0	1.0	1.0	1.0
1656436276	1.0	1.0	1.0	1.0
1656436277	1.0	1.0	1.0	1.0
1656436278	1.0	1.0	1.0	1.0
1656436279	1.0	1.0	1.0	1.0
1656436280	1.0	1.0	1.0	1.0
1656436281	1.0	1.0	1.0	1.0
1656436282	1.0	1.0	1.0	1.0
1656436283	1.0	1.0	1.0	1.0
1656436284	1.0	1.0	1.0	1.0
1656436285	1.0	1.0	1.0	1.0
1656436286	1.0	1.0	1.0	1.0
1656436287	1.0	1.0	1.0	1.0
1656436288	1.0	1.0	1.0	1.0
