starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 19:09:29 2022	1656436169	70	45	115	44
Tue Jun 28 19:09:29 2022	1656436169	70	1292	1362	1292
Tue Jun 28 19:09:29 2022	1656436169	73	1498	1571	1498
Tue Jun 28 19:11:51 2022	1656436311	70	1532	1601	1532
Tue Jun 28 19:10:12 2022	1656436212	64	1737	1801	1735
Tue Jun 28 19:11:21 2022	1656436281	82	1777	1859	1777
Tue Jun 28 19:09:29 2022	1656436169	175	1685	1860	1685
Tue Jun 28 19:09:29 2022	1656436169	74	1788	1862	1788
Tue Jun 28 19:09:29 2022	1656436169	174	1689	1863	1688
Tue Jun 28 19:13:09 2022	1656436389	65	1798	1863	1798
Tue Jun 28 19:09:29 2022	1656436169	174	1698	1872	1698
Tue Jun 28 19:10:10 2022	1656436210	87	1807	1894	1807
Tue Jun 28 19:12:55 2022	1656436375	87	1911	1997	1910
Tue Jun 28 19:12:47 2022	1656436367	107	1891	1998	1891
Tue Jun 28 19:09:38 2022	1656436178	65	1933	1998	1933
Tue Jun 28 19:12:27 2022	1656436347	64	1934	1999	1934
Tue Jun 28 19:09:50 2022	1656436190	67	1935	2002	1935
Tue Jun 28 19:10:52 2022	1656436252	89	1915	2004	1915
Tue Jun 28 19:10:52 2022	1656436252	67	1938	2005	1938
Tue Jun 28 19:13:13 2022	1656436393	63	1945	2007	1944
Tue Jun 28 19:13:25 2022	1656436405	70	1940	2010	1940
Tue Jun 28 19:11:12 2022	1656436272	89	1928	2017	1928
Tue Jun 28 19:09:29 2022	1656436169	176	1885	2060	1884
Tue Jun 28 19:09:29 2022	1656436169	174	1892	2066	1892
Tue Jun 28 19:10:29 2022	1656436229	63	2031	2094	2031
Tue Jun 28 19:11:33 2022	1656436293	64	2036	2100	2036
Tue Jun 28 19:10:21 2022	1656436221	93	2009	2101	2008
Tue Jun 28 19:11:55 2022	1656436315	68	2035	2103	2035
Tue Jun 28 19:11:34 2022	1656436294	63	2044	2107	2044
Tue Jun 28 19:11:55 2022	1656436315	64	2045	2109	2044
Tue Jun 28 19:11:52 2022	1656436312	69	2042	2112	2042
Tue Jun 28 19:11:12 2022	1656436272	76	2037	2113	2037
Tue Jun 28 19:11:37 2022	1656436297	81	2034	2114	2033
Tue Jun 28 19:12:21 2022	1656436341	87	2041	2128	2041
Tue Jun 28 19:13:23 2022	1656436403	64	2094	2158	2094
Tue Jun 28 19:13:09 2022	1656436389	83	2087	2170	2087
Tue Jun 28 19:11:31 2022	1656436291	85	2103	2188	2103
Tue Jun 28 19:11:02 2022	1656436262	72	2121	2193	2121
Tue Jun 28 19:11:31 2022	1656436291	67	2127	2194	2127
Tue Jun 28 19:12:48 2022	1656436368	82	2113	2195	2112
Tue Jun 28 19:11:31 2022	1656436291	65	2131	2196	2131
Tue Jun 28 19:12:26 2022	1656436346	83	2117	2200	2116
Tue Jun 28 19:12:51 2022	1656436371	67	2133	2200	2133
Tue Jun 28 19:11:53 2022	1656436313	87	2114	2201	2113
Tue Jun 28 19:11:34 2022	1656436294	86	2115	2202	2115
Tue Jun 28 19:10:13 2022	1656436213	64	2138	2202	2137
Tue Jun 28 19:11:51 2022	1656436311	70	2132	2202	2132
Tue Jun 28 19:10:09 2022	1656436209	83	2119	2202	2119
Tue Jun 28 19:10:38 2022	1656436238	69	2134	2203	2133
Tue Jun 28 19:10:33 2022	1656436233	71	2133	2204	2133
Tue Jun 28 19:11:40 2022	1656436300	83	2121	2204	2120
Tue Jun 28 19:12:29 2022	1656436349	69	2137	2206	2136
Tue Jun 28 19:10:28 2022	1656436228	82	2125	2207	2125
Tue Jun 28 19:11:53 2022	1656436313	65	2144	2209	2144
Tue Jun 28 19:09:58 2022	1656436198	70	2143	2213	2143
Tue Jun 28 19:11:34 2022	1656436294	79	2161	2240	2161
Tue Jun 28 19:11:51 2022	1656436311	84	2175	2259	2175
Tue Jun 28 19:10:09 2022	1656436209	65	2195	2260	2195
Tue Jun 28 19:12:17 2022	1656436337	82	2180	2261	2180
Tue Jun 28 19:09:29 2022	1656436169	174	2091	2265	2091
Tue Jun 28 19:09:29 2022	1656436169	172	2099	2272	2099
Tue Jun 28 19:09:29 2022	1656436169	172	2100	2272	2100
Tue Jun 28 19:12:11 2022	1656436331	64	2208	2272	2208
Tue Jun 28 19:11:43 2022	1656436303	65	2225	2290	2225
Tue Jun 28 19:11:45 2022	1656436305	65	2226	2292	2226
Tue Jun 28 19:11:32 2022	1656436292	69	2226	2295	2226
Tue Jun 28 19:11:30 2022	1656436290	83	2212	2296	2212
Tue Jun 28 19:10:30 2022	1656436230	62	2234	2296	2234
Tue Jun 28 19:10:30 2022	1656436230	89	2208	2296	2207
Tue Jun 28 19:12:22 2022	1656436342	81	2217	2298	2217
Tue Jun 28 19:11:49 2022	1656436309	69	2230	2298	2230
Tue Jun 28 19:12:06 2022	1656436326	64	2234	2299	2234
Tue Jun 28 19:09:50 2022	1656436190	82	2216	2299	2216
Tue Jun 28 19:11:23 2022	1656436283	75	2224	2299	2224
Tue Jun 28 19:10:52 2022	1656436252	84	2216	2300	2216
Tue Jun 28 19:10:36 2022	1656436236	83	2216	2300	2216
Tue Jun 28 19:11:07 2022	1656436267	65	2236	2300	2236
Tue Jun 28 19:11:52 2022	1656436312	81	2219	2300	2219
Tue Jun 28 19:12:34 2022	1656436354	74	2227	2301	2227
Tue Jun 28 19:13:18 2022	1656436398	64	2237	2301	2237
Tue Jun 28 19:12:50 2022	1656436370	71	2230	2301	2230
Tue Jun 28 19:12:56 2022	1656436376	64	2238	2302	2238
Tue Jun 28 19:11:40 2022	1656436300	63	2240	2303	2240
Tue Jun 28 19:12:07 2022	1656436327	65	2238	2303	2238
Tue Jun 28 19:11:37 2022	1656436297	71	2233	2304	2233
Tue Jun 28 19:13:09 2022	1656436389	76	2228	2305	2228
Tue Jun 28 19:12:00 2022	1656436320	81	2224	2305	2224
Tue Jun 28 19:12:10 2022	1656436330	65	2241	2306	2241
Tue Jun 28 19:11:55 2022	1656436315	65	2241	2306	2240
Tue Jun 28 19:11:43 2022	1656436303	65	2242	2306	2242
Tue Jun 28 19:10:58 2022	1656436258	78	2231	2308	2230
Tue Jun 28 19:11:41 2022	1656436301	70	2239	2309	2239
Tue Jun 28 19:11:43 2022	1656436303	81	2228	2309	2228
Tue Jun 28 19:09:58 2022	1656436198	69	2242	2311	2242
Tue Jun 28 19:12:38 2022	1656436358	69	2243	2312	2243
Tue Jun 28 19:10:54 2022	1656436254	83	2274	2357	2274
Tue Jun 28 19:13:04 2022	1656436384	90	2272	2362	2272
Tue Jun 28 19:13:10 2022	1656436390	91	2271	2362	2271
Tue Jun 28 19:12:33 2022	1656436353	69	2294	2363	2294
Tue Jun 28 19:13:03 2022	1656436383	94	2270	2364	2270
Tue Jun 28 19:12:07 2022	1656436327	82	2282	2364	2282
Tue Jun 28 19:13:03 2022	1656436383	70	2297	2367	2295
Tue Jun 28 19:12:58 2022	1656436378	65	2327	2392	2327
Tue Jun 28 19:11:33 2022	1656436293	71	2322	2393	2322
Tue Jun 28 19:13:02 2022	1656436382	83	2311	2394	2311
Tue Jun 28 19:10:21 2022	1656436221	65	2329	2394	2329
Tue Jun 28 19:10:37 2022	1656436237	88	2308	2395	2308
Tue Jun 28 19:12:54 2022	1656436374	87	2309	2396	2309
Tue Jun 28 19:13:02 2022	1656436382	69	2328	2396	2328
Tue Jun 28 19:13:05 2022	1656436385	81	2316	2397	2316
Tue Jun 28 19:09:37 2022	1656436177	66	2331	2397	2331
Tue Jun 28 19:09:55 2022	1656436195	76	2323	2399	2323
Tue Jun 28 19:11:32 2022	1656436292	66	2333	2399	2332
Tue Jun 28 19:10:11 2022	1656436211	65	2335	2400	2335
Tue Jun 28 19:10:28 2022	1656436228	65	2335	2400	2335
Tue Jun 28 19:12:53 2022	1656436373	68	2332	2400	2332
Tue Jun 28 19:10:04 2022	1656436204	83	2317	2400	2317
Tue Jun 28 19:11:19 2022	1656436279	64	2336	2400	2336
Tue Jun 28 19:11:53 2022	1656436313	65	2336	2400	2336
Tue Jun 28 19:09:36 2022	1656436176	68	2333	2400	2333
Tue Jun 28 19:12:53 2022	1656436373	84	2318	2402	2317
Tue Jun 28 19:12:53 2022	1656436373	83	2319	2402	2319
Tue Jun 28 19:12:17 2022	1656436337	78	2325	2403	2324
Tue Jun 28 19:10:11 2022	1656436211	71	2332	2403	2332
Tue Jun 28 19:10:17 2022	1656436217	65	2339	2404	2339
Tue Jun 28 19:10:42 2022	1656436242	65	2340	2404	2340
Tue Jun 28 19:13:24 2022	1656436404	65	2340	2404	2340
Tue Jun 28 19:10:04 2022	1656436204	69	2336	2405	2336
Tue Jun 28 19:12:55 2022	1656436375	80	2325	2405	2325
Tue Jun 28 19:10:57 2022	1656436257	72	2336	2408	2336
Tue Jun 28 19:13:19 2022	1656436399	82	2326	2408	2326
Tue Jun 28 19:12:07 2022	1656436327	83	2327	2410	2326
Tue Jun 28 19:11:29 2022	1656436289	67	2343	2410	2342
Tue Jun 28 19:12:28 2022	1656436348	65	2348	2414	2348
Tue Jun 28 19:09:37 2022	1656436177	87	2333	2420	2333
Tue Jun 28 19:12:22 2022	1656436342	64	2359	2423	2359
Tue Jun 28 19:12:42 2022	1656436362	84	2364	2449	2364
Tue Jun 28 19:11:51 2022	1656436311	87	2367	2454	2367
Tue Jun 28 19:13:00 2022	1656436380	88	2403	2491	2403
Tue Jun 28 19:10:02 2022	1656436202	67	2424	2491	2424
Tue Jun 28 19:12:54 2022	1656436374	84	2409	2493	2409
Tue Jun 28 19:10:17 2022	1656436217	88	2406	2493	2406
Tue Jun 28 19:10:10 2022	1656436210	92	2402	2493	2402
Tue Jun 28 19:12:26 2022	1656436346	105	2389	2494	2389
Tue Jun 28 19:12:20 2022	1656436340	65	2429	2494	2429
Tue Jun 28 19:09:32 2022	1656436172	81	2413	2495	2413
Tue Jun 28 19:10:00 2022	1656436200	64	2431	2495	2431
Tue Jun 28 19:11:56 2022	1656436316	83	2412	2495	2412
Tue Jun 28 19:13:22 2022	1656436402	71	2425	2496	2425
Tue Jun 28 19:09:31 2022	1656436171	82	2414	2496	2413
Tue Jun 28 19:10:30 2022	1656436230	69	2427	2496	2427
Tue Jun 28 19:11:49 2022	1656436309	71	2425	2496	2425
Tue Jun 28 19:12:50 2022	1656436370	65	2432	2496	2432
Tue Jun 28 19:12:55 2022	1656436375	114	2383	2497	2383
Tue Jun 28 19:10:23 2022	1656436223	64	2433	2497	2433
Tue Jun 28 19:11:08 2022	1656436268	65	2433	2498	2433
Tue Jun 28 19:12:54 2022	1656436374	68	2430	2498	2430
Tue Jun 28 19:09:40 2022	1656436180	66	2433	2498	2433
Tue Jun 28 19:13:23 2022	1656436403	81	2417	2498	2417
Tue Jun 28 19:10:22 2022	1656436222	64	2434	2498	2434
Tue Jun 28 19:12:18 2022	1656436338	73	2426	2499	2426
Tue Jun 28 19:10:07 2022	1656436207	68	2430	2499	2430
Tue Jun 28 19:09:54 2022	1656436194	65	2435	2499	2434
Tue Jun 28 19:13:03 2022	1656436383	88	2411	2500	2411
Tue Jun 28 19:13:08 2022	1656436388	65	2435	2500	2435
Tue Jun 28 19:11:54 2022	1656436314	83	2417	2500	2417
Tue Jun 28 19:12:41 2022	1656436361	65	2435	2500	2435
Tue Jun 28 19:11:09 2022	1656436269	64	2436	2500	2436
Tue Jun 28 19:11:24 2022	1656436284	64	2436	2500	2436
Tue Jun 28 19:11:22 2022	1656436282	70	2431	2501	2431
Tue Jun 28 19:09:43 2022	1656436183	69	2432	2501	2432
Tue Jun 28 19:11:10 2022	1656436270	64	2437	2501	2437
Tue Jun 28 19:10:13 2022	1656436213	68	2433	2501	2433
Tue Jun 28 19:12:02 2022	1656436322	65	2436	2501	2436
Tue Jun 28 19:13:03 2022	1656436383	81	2421	2502	2420
Tue Jun 28 19:11:24 2022	1656436284	65	2437	2502	2437
Tue Jun 28 19:11:39 2022	1656436299	63	2439	2502	2439
Tue Jun 28 19:12:11 2022	1656436331	82	2420	2502	2420
Tue Jun 28 19:10:58 2022	1656436258	66	2436	2502	2436
Tue Jun 28 19:12:27 2022	1656436347	89	2414	2502	2414
Tue Jun 28 19:12:47 2022	1656436367	107	2396	2502	2396
Tue Jun 28 19:10:37 2022	1656436237	63	2440	2503	2440
Tue Jun 28 19:12:08 2022	1656436328	82	2421	2503	2421
Tue Jun 28 19:11:05 2022	1656436265	86	2417	2504	2417
Tue Jun 28 19:10:59 2022	1656436259	69	2436	2505	2436
Tue Jun 28 19:10:22 2022	1656436222	88	2417	2505	2416
Tue Jun 28 19:11:06 2022	1656436266	68	2437	2505	2437
Tue Jun 28 19:12:08 2022	1656436328	88	2418	2506	2418
Tue Jun 28 19:10:19 2022	1656436219	70	2436	2506	2436
Tue Jun 28 19:09:53 2022	1656436193	71	2435	2506	2435
Tue Jun 28 19:10:55 2022	1656436255	69	2437	2506	2436
Tue Jun 28 19:13:26 2022	1656436406	85	2422	2506	2422
Tue Jun 28 19:09:38 2022	1656436178	71	2439	2510	2439
Tue Jun 28 19:13:11 2022	1656436391	64	2449	2513	2449
Tue Jun 28 19:12:29 2022	1656436349	94	2419	2513	2419
Tue Jun 28 19:11:35 2022	1656436295	63	2465	2529	2465
Tue Jun 28 19:13:18 2022	1656436398	87	2452	2539	2452
Tue Jun 28 19:12:11 2022	1656436331	80	2485	2565	2485
Tue Jun 28 19:12:24 2022	1656436344	66	2504	2569	2503
Tue Jun 28 19:12:46 2022	1656436366	70	2501	2571	2501
Tue Jun 28 19:10:09 2022	1656436209	65	2515	2580	2515
Tue Jun 28 19:10:08 2022	1656436208	64	2519	2584	2519
Tue Jun 28 19:13:14 2022	1656436394	85	2501	2585	2501
Tue Jun 28 19:11:54 2022	1656436314	67	2523	2590	2523
Tue Jun 28 19:12:24 2022	1656436344	84	2507	2591	2507
Tue Jun 28 19:11:45 2022	1656436305	85	2506	2591	2506
Tue Jun 28 19:12:49 2022	1656436369	66	2526	2591	2525
Tue Jun 28 19:12:25 2022	1656436345	130	2461	2592	2461
Tue Jun 28 19:10:31 2022	1656436231	82	2511	2593	2511
Tue Jun 28 19:11:04 2022	1656436264	64	2530	2594	2530
Tue Jun 28 19:11:10 2022	1656436270	66	2528	2594	2527
Tue Jun 28 19:11:47 2022	1656436307	77	2517	2594	2517
Tue Jun 28 19:11:31 2022	1656436291	88	2506	2594	2506
Tue Jun 28 19:12:34 2022	1656436354	98	2496	2594	2496
Tue Jun 28 19:13:08 2022	1656436388	341	2254	2594	2253
Tue Jun 28 19:13:24 2022	1656436404	84	2511	2595	2511
Tue Jun 28 19:12:05 2022	1656436325	66	2529	2595	2529
Tue Jun 28 19:12:58 2022	1656436378	65	2530	2596	2530
Tue Jun 28 19:11:59 2022	1656436319	86	2510	2596	2510
Tue Jun 28 19:10:54 2022	1656436254	78	2518	2596	2518
Tue Jun 28 19:10:43 2022	1656436243	63	2533	2596	2533
Tue Jun 28 19:10:28 2022	1656436228	88	2508	2597	2508
Tue Jun 28 19:09:59 2022	1656436199	64	2532	2597	2532
Tue Jun 28 19:12:47 2022	1656436367	64	2533	2597	2533
Tue Jun 28 19:13:01 2022	1656436381	92	2505	2597	2505
Tue Jun 28 19:13:04 2022	1656436384	71	2526	2597	2526
Tue Jun 28 19:12:05 2022	1656436325	65	2532	2597	2532
Tue Jun 28 19:13:16 2022	1656436396	75	2522	2597	2522
Tue Jun 28 19:12:45 2022	1656436365	83	2514	2597	2514
Tue Jun 28 19:10:35 2022	1656436235	83	2515	2597	2515
Tue Jun 28 19:09:52 2022	1656436192	85	2513	2598	2513
Tue Jun 28 19:10:11 2022	1656436211	65	2533	2599	2533
Tue Jun 28 19:12:10 2022	1656436330	63	2535	2599	2535
Tue Jun 28 19:11:51 2022	1656436311	69	2529	2599	2529
Tue Jun 28 19:12:00 2022	1656436320	83	2516	2599	2516
Tue Jun 28 19:11:04 2022	1656436264	64	2535	2599	2535
Tue Jun 28 19:11:26 2022	1656436286	64	2536	2599	2536
Tue Jun 28 19:13:20 2022	1656436400	82	2517	2600	2517
Tue Jun 28 19:12:02 2022	1656436322	69	2530	2600	2530
Tue Jun 28 19:13:02 2022	1656436382	84	2516	2600	2516
Tue Jun 28 19:12:39 2022	1656436359	65	2535	2600	2535
Tue Jun 28 19:12:20 2022	1656436340	91	2510	2600	2509
Tue Jun 28 19:10:23 2022	1656436223	82	2519	2601	2519
Tue Jun 28 19:12:41 2022	1656436361	87	2514	2601	2514
Tue Jun 28 19:10:19 2022	1656436219	63	2538	2601	2538
Tue Jun 28 19:10:25 2022	1656436225	65	2538	2603	2538
Tue Jun 28 19:09:49 2022	1656436189	63	2539	2603	2539
Tue Jun 28 19:12:59 2022	1656436379	98	2504	2603	2504
Tue Jun 28 19:10:02 2022	1656436202	88	2515	2603	2515
Tue Jun 28 19:11:39 2022	1656436299	83	2520	2603	2520
Tue Jun 28 19:12:15 2022	1656436335	83	2520	2603	2520
Tue Jun 28 19:10:29 2022	1656436229	86	2518	2604	2518
Tue Jun 28 19:09:52 2022	1656436192	92	2513	2605	2512
Tue Jun 28 19:11:34 2022	1656436294	70	2535	2605	2535
Tue Jun 28 19:13:25 2022	1656436405	66	2540	2606	2540
Tue Jun 28 19:10:31 2022	1656436231	81	2528	2609	2528
Tue Jun 28 19:10:23 2022	1656436223	68	2541	2609	2541
Tue Jun 28 19:09:52 2022	1656436192	84	2526	2610	2526
Tue Jun 28 19:11:27 2022	1656436287	84	2526	2610	2526
Tue Jun 28 19:09:42 2022	1656436182	65	2551	2616	2551
Tue Jun 28 19:11:35 2022	1656436295	88	2537	2625	2537
Tue Jun 28 19:12:21 2022	1656436341	70	2559	2628	2558
Tue Jun 28 19:09:59 2022	1656436199	83	2557	2640	2557
Tue Jun 28 19:12:05 2022	1656436325	81	2559	2641	2559
Tue Jun 28 19:11:48 2022	1656436308	86	2556	2642	2555
Tue Jun 28 19:10:36 2022	1656436236	87	2556	2643	2556
Tue Jun 28 19:11:05 2022	1656436265	89	2557	2645	2557
Tue Jun 28 19:10:00 2022	1656436200	83	2568	2651	2568
Tue Jun 28 19:10:21 2022	1656436221	64	2588	2652	2588
