starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 29 12:05:36 2022	1656497136	63	21	84	21
Wed Jun 29 12:05:41 2022	1656497141	64	21	84	21
Wed Jun 29 12:05:36 2022	1656497136	64	21	85	21
Wed Jun 29 12:05:38 2022	1656497138	64	22	86	22
Wed Jun 29 12:05:38 2022	1656497138	66	21	86	20
Wed Jun 29 12:05:39 2022	1656497139	66	20	87	20
Wed Jun 29 12:05:39 2022	1656497139	65	22	87	22
Wed Jun 29 12:05:39 2022	1656497139	66	22	88	22
Wed Jun 29 12:05:39 2022	1656497139	67	21	88	21
Wed Jun 29 12:05:38 2022	1656497138	68	21	89	21
Wed Jun 29 12:04:51 2022	1656497091	63	27	90	27
Wed Jun 29 12:04:52 2022	1656497092	63	27	90	27
Wed Jun 29 12:05:38 2022	1656497138	64	27	90	27
Wed Jun 29 12:06:59 2022	1656497219	64	27	91	27
Wed Jun 29 12:04:14 2022	1656497054	63	28	92	28
Wed Jun 29 12:05:06 2022	1656497106	63	28	92	28
Wed Jun 29 12:06:47 2022	1656497207	65	27	92	27
Wed Jun 29 12:05:42 2022	1656497142	64	28	92	28
Wed Jun 29 12:05:36 2022	1656497136	69	23	92	23
Wed Jun 29 12:05:40 2022	1656497140	65	27	92	27
Wed Jun 29 12:06:45 2022	1656497205	63	29	92	29
Wed Jun 29 12:05:40 2022	1656497140	69	23	92	23
Wed Jun 29 12:05:15 2022	1656497115	63	30	93	30
Wed Jun 29 12:06:13 2022	1656497173	64	29	93	29
Wed Jun 29 12:05:42 2022	1656497142	62	31	93	31
Wed Jun 29 12:06:46 2022	1656497206	63	30	93	30
Wed Jun 29 12:05:38 2022	1656497138	70	23	93	23
Wed Jun 29 12:06:51 2022	1656497211	63	30	93	30
Wed Jun 29 12:06:04 2022	1656497164	65	28	93	28
Wed Jun 29 12:05:47 2022	1656497147	66	28	93	27
Wed Jun 29 12:05:21 2022	1656497121	63	31	94	31
Wed Jun 29 12:06:07 2022	1656497167	65	29	94	29
Wed Jun 29 12:05:36 2022	1656497136	70	23	94	23
Wed Jun 29 12:05:41 2022	1656497141	71	23	94	22
Wed Jun 29 12:06:11 2022	1656497171	64	30	94	30
Wed Jun 29 12:05:38 2022	1656497138	64	29	94	29
Wed Jun 29 12:07:05 2022	1656497225	63	31	94	31
Wed Jun 29 12:04:17 2022	1656497057	64	30	94	30
Wed Jun 29 12:05:43 2022	1656497143	65	29	94	29
Wed Jun 29 12:06:47 2022	1656497207	62	32	94	32
Wed Jun 29 12:06:14 2022	1656497174	64	31	94	30
Wed Jun 29 12:07:19 2022	1656497239	65	29	94	28
Wed Jun 29 12:05:38 2022	1656497138	72	22	94	22
Wed Jun 29 12:05:36 2022	1656497136	69	26	94	25
Wed Jun 29 12:05:25 2022	1656497125	66	29	95	28
Wed Jun 29 12:05:40 2022	1656497140	64	31	95	30
Wed Jun 29 12:05:36 2022	1656497136	70	25	95	25
Wed Jun 29 12:04:12 2022	1656497052	66	29	95	28
Wed Jun 29 12:05:20 2022	1656497120	63	31	95	31
Wed Jun 29 12:07:06 2022	1656497226	68	27	95	27
Wed Jun 29 12:05:39 2022	1656497139	74	21	95	21
Wed Jun 29 12:05:45 2022	1656497145	64	31	95	31
Wed Jun 29 12:05:05 2022	1656497105	62	33	95	32
Wed Jun 29 12:04:51 2022	1656497091	64	31	95	31
Wed Jun 29 12:07:17 2022	1656497237	63	32	95	32
Wed Jun 29 12:07:04 2022	1656497224	63	32	95	32
Wed Jun 29 12:05:47 2022	1656497147	66	29	95	29
Wed Jun 29 12:06:37 2022	1656497197	65	30	96	30
Wed Jun 29 12:05:22 2022	1656497122	65	31	96	31
Wed Jun 29 12:06:46 2022	1656497206	63	32	96	32
Wed Jun 29 12:05:48 2022	1656497148	62	34	96	33
Wed Jun 29 12:06:57 2022	1656497217	65	30	96	30
Wed Jun 29 12:06:34 2022	1656497194	64	32	96	32
Wed Jun 29 12:07:03 2022	1656497223	68	28	96	28
Wed Jun 29 12:06:59 2022	1656497219	63	33	96	33
Wed Jun 29 12:05:50 2022	1656497150	64	32	96	32
Wed Jun 29 12:05:33 2022	1656497133	67	29	96	29
Wed Jun 29 12:05:11 2022	1656497111	64	32	96	32
Wed Jun 29 12:07:05 2022	1656497225	69	27	96	27
Wed Jun 29 12:06:01 2022	1656497161	66	30	96	30
Wed Jun 29 12:06:14 2022	1656497174	66	31	96	30
Wed Jun 29 12:06:56 2022	1656497216	64	32	96	32
Wed Jun 29 12:05:41 2022	1656497141	71	25	96	25
Wed Jun 29 12:06:32 2022	1656497192	70	27	96	27
Wed Jun 29 12:07:17 2022	1656497237	64	32	96	32
Wed Jun 29 12:06:33 2022	1656497193	63	33	97	33
Wed Jun 29 12:06:03 2022	1656497163	63	34	97	34
Wed Jun 29 12:06:56 2022	1656497216	66	31	97	31
Wed Jun 29 12:05:37 2022	1656497137	65	32	97	32
Wed Jun 29 12:06:53 2022	1656497213	63	34	97	34
Wed Jun 29 12:05:46 2022	1656497146	64	32	97	32
Wed Jun 29 12:06:46 2022	1656497206	67	30	97	30
Wed Jun 29 12:06:37 2022	1656497197	65	32	97	32
Wed Jun 29 12:06:56 2022	1656497216	64	32	97	32
Wed Jun 29 12:05:25 2022	1656497125	66	31	97	31
Wed Jun 29 12:06:24 2022	1656497184	66	31	97	31
Wed Jun 29 12:05:42 2022	1656497142	62	35	97	34
Wed Jun 29 12:05:49 2022	1656497149	66	31	97	31
Wed Jun 29 12:07:17 2022	1656497237	68	29	97	29
Wed Jun 29 12:05:20 2022	1656497120	63	34	97	34
Wed Jun 29 12:05:45 2022	1656497145	69	28	97	28
Wed Jun 29 12:07:02 2022	1656497222	64	33	97	32
Wed Jun 29 12:04:20 2022	1656497060	64	33	97	33
Wed Jun 29 12:05:21 2022	1656497121	64	33	97	32
Wed Jun 29 12:05:12 2022	1656497112	64	34	97	33
Wed Jun 29 12:05:22 2022	1656497122	65	32	97	32
Wed Jun 29 12:06:17 2022	1656497177	63	34	97	34
Wed Jun 29 12:04:55 2022	1656497095	63	34	97	34
Wed Jun 29 12:04:55 2022	1656497095	68	30	97	29
Wed Jun 29 12:04:27 2022	1656497067	67	31	97	30
Wed Jun 29 12:06:29 2022	1656497189	62	35	97	35
Wed Jun 29 12:06:07 2022	1656497167	64	34	97	33
Wed Jun 29 12:06:15 2022	1656497175	68	29	97	29
Wed Jun 29 12:06:56 2022	1656497216	68	30	98	30
Wed Jun 29 12:05:55 2022	1656497155	64	33	98	33
Wed Jun 29 12:07:03 2022	1656497223	64	33	98	33
Wed Jun 29 12:06:33 2022	1656497193	65	33	98	33
Wed Jun 29 12:06:23 2022	1656497183	64	33	98	33
Wed Jun 29 12:05:47 2022	1656497147	69	29	98	29
Wed Jun 29 12:07:19 2022	1656497239	64	33	98	33
Wed Jun 29 12:06:13 2022	1656497173	63	35	98	35
Wed Jun 29 12:04:22 2022	1656497062	71	27	98	27
Wed Jun 29 12:06:33 2022	1656497193	63	35	98	35
Wed Jun 29 12:04:19 2022	1656497059	64	34	98	34
Wed Jun 29 12:05:39 2022	1656497139	74	24	98	24
Wed Jun 29 12:05:05 2022	1656497105	68	30	98	30
Wed Jun 29 12:06:42 2022	1656497202	66	32	98	32
Wed Jun 29 12:07:00 2022	1656497220	66	32	98	32
Wed Jun 29 12:06:22 2022	1656497182	63	35	98	34
Wed Jun 29 12:06:02 2022	1656497162	65	33	98	33
Wed Jun 29 12:05:15 2022	1656497115	65	33	98	32
Wed Jun 29 12:07:11 2022	1656497231	64	34	98	34
Wed Jun 29 12:07:16 2022	1656497236	65	33	98	33
Wed Jun 29 12:05:56 2022	1656497156	69	29	98	29
Wed Jun 29 12:07:23 2022	1656497243	63	35	98	35
Wed Jun 29 12:06:54 2022	1656497214	64	34	98	34
Wed Jun 29 12:06:29 2022	1656497189	63	35	98	35
Wed Jun 29 12:05:13 2022	1656497113	65	33	98	33
Wed Jun 29 12:05:10 2022	1656497110	64	35	98	34
Wed Jun 29 12:07:03 2022	1656497223	64	34	99	33
Wed Jun 29 12:05:21 2022	1656497121	70	29	99	29
Wed Jun 29 12:05:41 2022	1656497141	76	23	99	23
Wed Jun 29 12:07:16 2022	1656497236	70	29	99	28
Wed Jun 29 12:05:48 2022	1656497148	69	30	99	29
Wed Jun 29 12:06:03 2022	1656497163	64	34	99	34
Wed Jun 29 12:07:22 2022	1656497242	63	36	99	35
Wed Jun 29 12:04:57 2022	1656497097	65	33	99	33
Wed Jun 29 12:07:21 2022	1656497241	64	35	99	35
Wed Jun 29 12:06:27 2022	1656497187	65	33	99	33
Wed Jun 29 12:05:40 2022	1656497140	67	31	99	31
Wed Jun 29 12:06:18 2022	1656497178	64	35	99	35
Wed Jun 29 12:07:00 2022	1656497220	66	32	99	32
Wed Jun 29 12:05:40 2022	1656497140	76	23	99	22
Wed Jun 29 12:04:52 2022	1656497092	62	37	99	35
Wed Jun 29 12:06:37 2022	1656497197	70	29	99	29
Wed Jun 29 12:07:11 2022	1656497231	68	31	99	31
Wed Jun 29 12:05:15 2022	1656497115	63	36	99	35
Wed Jun 29 12:04:20 2022	1656497060	69	30	99	30
Wed Jun 29 12:05:46 2022	1656497146	69	30	99	30
Wed Jun 29 12:07:08 2022	1656497228	64	35	99	35
Wed Jun 29 12:04:17 2022	1656497057	64	35	99	34
