seconds	current_backend	desired_backend	current_traefik	desired_traefik
1656498570	1.0	1.0	1.0	1.0
1656498571	1.0	1.0	1.0	1.0
1656498572	1.0	1.0	1.0	1.0
1656498573	1.0	1.0	1.0	1.0
1656498574	1.0	1.0	1.0	1.0
1656498575	1.0	1.0	1.0	1.0
1656498576	1.0	1.0	1.0	1.0
1656498577	1.0	1.0	1.0	1.0
1656498578	1.0	1.0	1.0	1.0
1656498579	1.0	1.0	1.0	1.0
1656498580	1.0	1.0	1.0	1.0
1656498581	1.0	1.0	1.0	1.0
1656498582	1.0	1.0	1.0	1.0
1656498583	1.0	1.0	1.0	1.0
1656498584	1.0	1.0	1.0	1.0
1656498585	1.0	1.0	1.0	1.0
1656498586	1.0	1.0	1.0	1.0
1656498587	1.0	1.0	1.0	1.0
1656498588	1.0	1.0	1.0	1.0
1656498589	1.0	1.0	1.0	1.0
1656498590	1.0	1.0	1.0	1.0
1656498591	1.0	1.0	1.0	1.0
1656498592	1.0	1.0	1.0	1.0
1656498593	1.0	1.0	1.0	1.0
1656498594	1.0	1.0	1.0	1.0
1656498595	1.0	1.0	1.0	1.0
1656498596	1.0	1.0	1.0	1.0
1656498597	1.0	1.0	1.0	1.0
1656498598	1.0	1.0	1.0	1.0
1656498599	1.0	1.0	1.0	1.0
1656498600	1.0	1.0	1.0	1.0
1656498601	1.0	1.0	1.0	1.0
1656498602	1.0	1.0	1.0	1.0
1656498603	1.0	1.0	1.0	1.0
1656498604	1.0	1.0	1.0	1.0
1656498605	1.0	1.0	1.0	1.0
1656498606	1.0	1.0	1.0	1.0
1656498607	1.0	1.0	1.0	1.0
1656498608	1.0	1.0	1.0	1.0
1656498609	1.0	1.0	1.0	1.0
1656498610	1.0	1.0	1.0	1.0
1656498611	1.0	1.0	1.0	1.0
1656498612	1.0	1.0	1.0	1.0
1656498613	1.0	1.0	1.0	1.0
1656498614	1.0	1.0	1.0	1.0
1656498615	1.0	1.0	1.0	1.0
1656498616	1.0	1.0	1.0	1.0
1656498617	1.0	1.0	1.0	1.0
1656498618	1.0	1.0	1.0	1.0
1656498619	1.0	1.0	1.0	1.0
1656498620	1.0	1.0	1.0	1.0
1656498621	1.0	1.0	1.0	1.0
1656498622	1.0	1.0	1.0	1.0
1656498623	1.0	1.0	1.0	1.0
1656498624	1.0	1.0	1.0	1.0
1656498625	1.0	1.0	1.0	1.0
1656498626	1.0	1.0	1.0	1.0
1656498627	1.0	1.0	1.0	1.0
1656498628	1.0	1.0	1.0	1.0
1656498629	1.0	1.0	1.0	1.0
1656498630	1.0	1.0	1.0	1.0
1656498631	1.0	1.0	1.0	2.0
1656498632	1.0	1.0	1.0	2.0
1656498633	1.0	1.0	1.0	2.0
1656498634	1.0	3.0	1.0	2.0
1656498635	1.0	3.0	1.0	2.0
1656498636	1.0	3.0	1.0	2.0
1656498637	1.0	3.0	1.0	2.0
1656498638	1.0	3.0	1.0	2.0
1656498639	1.0	3.0	1.0	2.0
1656498640	1.0	3.0	1.0	2.0
1656498641	1.0	3.0	1.0	2.0
1656498642	1.0	3.0	1.0	2.0
1656498643	1.0	3.0	1.0	2.0
1656498644	1.0	3.0	2.0	2.0
1656498645	1.0	3.0	2.0	2.0
1656498646	1.0	3.0	2.0	2.0
1656498647	1.0	3.0	2.0	2.0
1656498648	1.0	3.0	2.0	2.0
1656498649	1.0	3.0	2.0	2.0
1656498650	1.0	3.0	2.0	2.0
1656498651	3.0	3.0	2.0	2.0
1656498652	3.0	3.0	2.0	2.0
1656498653	3.0	3.0	2.0	2.0
1656498654	3.0	3.0	2.0	2.0
1656498655	3.0	3.0	2.0	2.0
1656498656	3.0	3.0	2.0	2.0
1656498657	3.0	3.0	2.0	2.0
1656498658	3.0	3.0	2.0	2.0
1656498659	3.0	3.0	2.0	2.0
1656498660	3.0	3.0	2.0	2.0
1656498661	3.0	3.0	2.0	2.0
1656498662	3.0	3.0	2.0	2.0
1656498663	3.0	3.0	2.0	2.0
1656498664	3.0	3.0	2.0	2.0
1656498665	3.0	3.0	2.0	2.0
1656498666	3.0	3.0	2.0	2.0
1656498667	3.0	3.0	2.0	2.0
1656498668	3.0	3.0	2.0	2.0
1656498669	3.0	3.0	2.0	2.0
1656498670	3.0	3.0	2.0	2.0
1656498671	3.0	3.0	2.0	2.0
1656498672	3.0	3.0	2.0	2.0
1656498673	3.0	3.0	2.0	2.0
1656498674	3.0	3.0	2.0	2.0
1656498675	3.0	3.0	2.0	2.0
1656498676	3.0	3.0	2.0	2.0
1656498677	3.0	3.0	2.0	2.0
1656498678	3.0	3.0	2.0	2.0
1656498679	3.0	3.0	2.0	2.0
1656498680	3.0	3.0	2.0	2.0
1656498681	3.0	3.0	2.0	2.0
1656498682	3.0	3.0	2.0	2.0
1656498683	3.0	3.0	2.0	2.0
1656498684	3.0	3.0	2.0	2.0
1656498685	3.0	3.0	2.0	2.0
1656498686	3.0	3.0	2.0	2.0
1656498687	3.0	3.0	2.0	2.0
1656498688	3.0	3.0	2.0	2.0
1656498689	3.0	3.0	2.0	2.0
1656498690	3.0	3.0	2.0	2.0
1656498691	3.0	3.0	2.0	2.0
1656498692	3.0	3.0	2.0	3.0
1656498693	3.0	3.0	2.0	3.0
1656498694	3.0	3.0	2.0	3.0
1656498695	3.0	3.0	2.0	3.0
1656498696	3.0	3.0	2.0	3.0
1656498697	3.0	3.0	2.0	3.0
1656498698	3.0	3.0	2.0	3.0
1656498699	3.0	3.0	2.0	3.0
1656498700	3.0	3.0	2.0	3.0
1656498701	3.0	3.0	2.0	3.0
1656498702	3.0	3.0	2.0	3.0
1656498703	3.0	3.0	2.0	3.0
1656498704	3.0	3.0	2.0	3.0
1656498705	3.0	3.0	3.0	3.0
1656498706	3.0	3.0	3.0	3.0
1656498707	3.0	3.0	3.0	3.0
1656498708	3.0	3.0	3.0	3.0
1656498709	3.0	3.0	3.0	3.0
1656498710	3.0	3.0	3.0	3.0
1656498711	3.0	3.0	3.0	3.0
1656498712	3.0	3.0	3.0	3.0
1656498713	3.0	3.0	3.0	3.0
1656498714	3.0	3.0	3.0	3.0
1656498715	3.0	3.0	3.0	3.0
1656498716	3.0	3.0	3.0	3.0
1656498717	3.0	3.0	3.0	3.0
1656498718	3.0	3.0	3.0	3.0
1656498719	3.0	3.0	3.0	3.0
1656498720	3.0	3.0	3.0	3.0
1656498721	3.0	3.0	3.0	3.0
1656498722	3.0	3.0	3.0	3.0
1656498723	3.0	3.0	3.0	3.0
1656498724	3.0	3.0	3.0	3.0
1656498725	3.0	3.0	3.0	3.0
1656498726	3.0	5.0	3.0	3.0
1656498727	3.0	5.0	3.0	3.0
1656498728	3.0	5.0	3.0	3.0
1656498729	3.0	5.0	3.0	3.0
1656498730	3.0	5.0	3.0	3.0
1656498731	3.0	5.0	3.0	3.0
1656498732	3.0	5.0	3.0	3.0
1656498733	3.0	5.0	3.0	3.0
1656498734	3.0	5.0	3.0	3.0
1656498735	3.0	5.0	3.0	3.0
1656498736	3.0	5.0	3.0	3.0
1656498737	3.0	5.0	3.0	3.0
1656498738	3.0	5.0	3.0	3.0
1656498739	3.0	5.0	3.0	3.0
1656498740	5.0	5.0	3.0	3.0
1656498741	5.0	5.0	3.0	3.0
1656498742	5.0	5.0	3.0	3.0
1656498743	5.0	5.0	3.0	3.0
1656498744	5.0	5.0	3.0	3.0
1656498745	5.0	5.0	3.0	3.0
1656498746	5.0	5.0	3.0	3.0
1656498747	5.0	5.0	3.0	3.0
1656498748	5.0	5.0	3.0	3.0
1656498749	5.0	5.0	3.0	3.0
1656498750	5.0	5.0	3.0	3.0
1656498751	5.0	5.0	3.0	3.0
1656498752	5.0	5.0	3.0	3.0
1656498753	5.0	5.0	3.0	3.0
1656498754	5.0	5.0	3.0	3.0
1656498755	5.0	5.0	3.0	3.0
1656498756	5.0	5.0	3.0	3.0
1656498757	5.0	5.0	3.0	3.0
1656498758	5.0	5.0	3.0	3.0
1656498759	5.0	5.0	3.0	3.0
1656498760	5.0	5.0	3.0	3.0
1656498761	5.0	5.0	3.0	3.0
1656498762	5.0	5.0	3.0	3.0
1656498763	5.0	5.0	3.0	3.0
1656498764	5.0	5.0	3.0	3.0
1656498765	5.0	5.0	3.0	3.0
1656498766	5.0	5.0	3.0	3.0
1656498767	5.0	5.0	3.0	3.0
1656498768	5.0	5.0	3.0	3.0
1656498769	5.0	5.0	3.0	3.0
1656498770	5.0	5.0	3.0	3.0
1656498771	5.0	5.0	3.0	3.0
1656498772	5.0	5.0	3.0	3.0
1656498773	5.0	5.0	3.0	3.0
1656498774	5.0	5.0	3.0	3.0
1656498775	5.0	5.0	3.0	3.0
1656498776	5.0	5.0	3.0	3.0
1656498777	5.0	5.0	3.0	3.0
1656498778	5.0	5.0	3.0	3.0
1656498779	5.0	5.0	3.0	3.0
1656498780	5.0	5.0	3.0	3.0
1656498781	5.0	5.0	3.0	4.0
1656498782	5.0	5.0	3.0	4.0
1656498783	5.0	5.0	3.0	4.0
1656498784	5.0	5.0	3.0	4.0
1656498785	5.0	5.0	3.0	4.0
1656498786	5.0	5.0	3.0	4.0
1656498787	5.0	5.0	3.0	4.0
1656498788	5.0	5.0	3.0	4.0
1656498789	5.0	5.0	3.0	4.0
1656498790	5.0	5.0	3.0	4.0
1656498791	5.0	5.0	3.0	4.0
1656498792	5.0	5.0	3.0	4.0
1656498793	5.0	5.0	4.0	4.0
1656498794	5.0	5.0	4.0	4.0
1656498795	5.0	5.0	4.0	4.0
1656498796	5.0	5.0	4.0	4.0
1656498797	5.0	5.0	4.0	4.0
1656498798	5.0	5.0	4.0	4.0
1656498799	5.0	5.0	4.0	4.0
1656498800	5.0	5.0	4.0	4.0
1656498801	5.0	5.0	4.0	4.0
1656498802	5.0	5.0	4.0	4.0
1656498803	5.0	5.0	4.0	4.0
1656498804	5.0	5.0	4.0	4.0
1656498805	5.0	5.0	4.0	4.0
1656498806	5.0	5.0	4.0	4.0
1656498807	5.0	5.0	4.0	4.0
1656498808	5.0	5.0	4.0	4.0
1656498809	5.0	5.0	4.0	4.0
1656498810	5.0	5.0	4.0	4.0
1656498811	5.0	5.0	4.0	4.0
1656498812	5.0	5.0	4.0	4.0
1656498813	5.0	5.0	4.0	4.0
1656498814	5.0	5.0	4.0	4.0
1656498815	5.0	5.0	4.0	4.0
1656498816	5.0	5.0	4.0	4.0
1656498817	5.0	5.0	4.0	4.0
1656498818	5.0	5.0	4.0	4.0
1656498819	5.0	5.0	4.0	4.0
1656498820	5.0	5.0	4.0	4.0
1656498821	5.0	5.0	4.0	4.0
1656498822	5.0	5.0	4.0	4.0
1656498823	5.0	5.0	4.0	4.0
1656498824	5.0	5.0	4.0	4.0
1656498825	5.0	5.0	4.0	4.0
1656498826	5.0	5.0	4.0	4.0
1656498827	5.0	5.0	4.0	4.0
1656498828	5.0	5.0	4.0	4.0
1656498829	5.0	5.0	4.0	4.0
1656498830	5.0	5.0	4.0	4.0
1656498831	5.0	5.0	4.0	4.0
1656498832	5.0	5.0	4.0	4.0
1656498833	5.0	5.0	4.0	4.0
1656498834	5.0	5.0	4.0	4.0
1656498835	5.0	5.0	4.0	4.0
1656498836	5.0	5.0	4.0	4.0
1656498837	5.0	5.0	4.0	4.0
1656498838	5.0	5.0	4.0	4.0
1656498839	5.0	5.0	4.0	4.0
1656498840	5.0	5.0	4.0	4.0
1656498841	5.0	5.0	4.0	4.0
1656498842	5.0	5.0	4.0	4.0
1656498843	5.0	5.0	4.0	4.0
1656498844	5.0	5.0	4.0	4.0
1656498845	5.0	5.0	4.0	4.0
1656498846	5.0	5.0	4.0	4.0
1656498847	5.0	5.0	4.0	4.0
1656498848	5.0	5.0	4.0	4.0
1656498849	5.0	5.0	4.0	4.0
1656498850	5.0	5.0	4.0	4.0
1656498851	5.0	5.0	4.0	4.0
1656498853	5.0	5.0	4.0	4.0
1656498854	5.0	5.0	4.0	4.0
1656498855	5.0	5.0	4.0	4.0
1656498856	5.0	5.0	4.0	4.0
1656498857	5.0	5.0	4.0	4.0
1656498858	5.0	5.0	4.0	4.0
1656498859	5.0	5.0	4.0	4.0
1656498860	5.0	5.0	4.0	4.0
1656498861	5.0	5.0	4.0	4.0
1656498862	5.0	5.0	4.0	4.0
1656498863	5.0	5.0	4.0	4.0
1656498864	5.0	5.0	4.0	4.0
1656498865	5.0	5.0	4.0	4.0
1656498866	5.0	5.0	4.0	4.0
1656498867	5.0	5.0	4.0	4.0
1656498868	5.0	5.0	4.0	4.0
1656498869	5.0	5.0	4.0	4.0
1656498870	5.0	5.0	4.0	4.0
1656498871	5.0	5.0	4.0	4.0
1656498872	5.0	5.0	4.0	4.0
1656498873	5.0	5.0	4.0	4.0
1656498874	5.0	5.0	4.0	4.0
1656498875	5.0	5.0	4.0	4.0
1656498876	5.0	5.0	4.0	4.0
1656498877	5.0	5.0	4.0	4.0
1656498879	5.0	5.0	4.0	4.0
1656498880	5.0	5.0	4.0	4.0
1656498882	5.0	5.0	4.0	4.0
1656498883	5.0	5.0	4.0	4.0
1656498884	5.0	5.0	4.0	4.0
1656498885	5.0	5.0	4.0	4.0
1656498886	5.0	5.0	4.0	4.0
1656498887	5.0	5.0	4.0	4.0
1656498889	5.0	5.0	4.0	4.0
1656498890	5.0	5.0	4.0	4.0
1656498892	5.0	5.0	4.0	4.0
1656498893	5.0	5.0	4.0	4.0
1656498895	5.0	5.0	4.0	4.0
1656498896	5.0	5.0	4.0	4.0
1656498898	5.0	5.0	4.0	4.0
1656498900	5.0	5.0	4.0	4.0
1656498901	5.0	5.0	4.0	4.0
1656498902	5.0	5.0	4.0	4.0
1656498903	5.0	5.0	4.0	4.0
1656498904	5.0	5.0	4.0	4.0
1656498905	5.0	5.0	4.0	4.0
1656498906	5.0	5.0	4.0	4.0
1656498907	5.0	5.0	4.0	4.0
1656498908	5.0	5.0	4.0	4.0
1656498909	5.0	5.0	4.0	4.0
1656498910	5.0	5.0	4.0	4.0
1656498911	5.0	5.0	4.0	4.0
1656498912	5.0	5.0	4.0	4.0
1656498913	5.0	5.0	4.0	4.0
1656498914	5.0	5.0	4.0	4.0
1656498915	5.0	5.0	4.0	4.0
1656498916	5.0	5.0	4.0	4.0
1656498917	5.0	5.0	4.0	4.0
1656498918	5.0	5.0	4.0	4.0
1656498919	5.0	5.0	4.0	4.0
1656498920	5.0	5.0	4.0	4.0
1656498921	5.0	5.0	4.0	4.0
1656498922	5.0	5.0	4.0	4.0
1656498923	5.0	5.0	4.0	4.0
1656498924	5.0	5.0	4.0	4.0
1656498925	5.0	5.0	4.0	4.0
1656498926	5.0	5.0	4.0	4.0
1656498927	5.0	5.0	4.0	4.0
1656498928	5.0	5.0	4.0	4.0
1656498929	5.0	5.0	4.0	4.0
1656498930	5.0	5.0	4.0	4.0
1656498931	5.0	5.0	4.0	4.0
1656498932	5.0	5.0	4.0	4.0
1656498933	5.0	5.0	4.0	4.0
1656498934	5.0	5.0	4.0	4.0
1656498935	5.0	5.0	4.0	4.0
1656498936	5.0	5.0	4.0	4.0
1656498937	5.0	5.0	4.0	4.0
1656498938	5.0	5.0	4.0	4.0
1656498939	5.0	5.0	4.0	4.0
1656498940	5.0	5.0	4.0	4.0
1656498941	5.0	5.0	4.0	4.0
1656498942	5.0	5.0	4.0	4.0
1656498943	5.0	5.0	4.0	4.0
1656498944	5.0	5.0	4.0	4.0
1656498945	5.0	5.0	4.0	4.0
1656498946	5.0	5.0	4.0	4.0
1656498947	5.0	5.0	4.0	4.0
1656498948	5.0	5.0	4.0	4.0
1656498949	5.0	5.0	4.0	4.0
1656498951	5.0	5.0	4.0	4.0
1656498952	5.0	5.0	4.0	4.0
1656498953	5.0	5.0	4.0	4.0
1656498954	5.0	5.0	4.0	4.0
1656498955	5.0	5.0	4.0	4.0
1656498956	5.0	5.0	4.0	4.0
1656498958	5.0	5.0	4.0	4.0
1656498959	5.0	5.0	4.0	4.0
1656498960	5.0	5.0	4.0	4.0
1656498961	5.0	5.0	4.0	4.0
1656498962	5.0	5.0	4.0	4.0
1656498963	5.0	5.0	4.0	4.0
