starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:28:22 2022	1656433702	65	33	98	33
Tue Jun 28 18:28:22 2022	1656433702	66	33	99	33
Tue Jun 28 18:28:34 2022	1656433714	70	29	100	29
Tue Jun 28 18:27:09 2022	1656433629	65	36	100	35
Tue Jun 28 18:27:51 2022	1656433671	65	36	101	36
Tue Jun 28 18:27:43 2022	1656433663	65	36	101	36
Tue Jun 28 18:27:51 2022	1656433671	68	33	101	33
Tue Jun 28 18:26:48 2022	1656433608	66	35	101	35
Tue Jun 28 18:27:51 2022	1656433671	65	37	101	36
Tue Jun 28 18:28:26 2022	1656433706	65	37	102	36
Tue Jun 28 18:28:42 2022	1656433722	66	36	102	35
Tue Jun 28 18:28:42 2022	1656433722	64	38	102	38
Tue Jun 28 18:28:26 2022	1656433706	66	37	103	36
Tue Jun 28 18:28:42 2022	1656433722	67	36	103	36
Tue Jun 28 18:26:31 2022	1656433591	64	39	103	39
Tue Jun 28 18:30:12 2022	1656433812	73	31	103	31
Tue Jun 28 18:26:54 2022	1656433614	81	25	106	25
Tue Jun 28 18:28:02 2022	1656433682	65	41	106	41
Tue Jun 28 18:26:55 2022	1656433615	66	41	107	41
Tue Jun 28 18:28:02 2022	1656433682	67	41	108	41
Tue Jun 28 18:29:02 2022	1656433742	66	42	108	42
Tue Jun 28 18:29:02 2022	1656433742	65	43	108	42
Tue Jun 28 18:29:53 2022	1656433793	85	23	109	23
Tue Jun 28 18:27:00 2022	1656433620	66	44	110	44
Tue Jun 28 18:27:28 2022	1656433648	66	45	111	45
Tue Jun 28 18:26:18 2022	1656433578	71	40	111	38
Tue Jun 28 18:29:00 2022	1656433740	71	40	111	40
Tue Jun 28 18:28:34 2022	1656433714	72	40	112	40
Tue Jun 28 18:27:59 2022	1656433679	64	49	113	49
Tue Jun 28 18:30:04 2022	1656433804	66	47	113	47
Tue Jun 28 18:27:47 2022	1656433667	65	49	114	49
Tue Jun 28 18:26:46 2022	1656433606	66	48	114	48
Tue Jun 28 18:28:39 2022	1656433719	63	51	114	50
Tue Jun 28 18:27:59 2022	1656433679	84	31	116	31
Tue Jun 28 18:27:47 2022	1656433667	83	33	116	33
Tue Jun 28 18:26:46 2022	1656433606	89	27	116	27
Tue Jun 28 18:27:19 2022	1656433639	86	30	117	30
Tue Jun 28 18:27:47 2022	1656433667	83	34	117	34
Tue Jun 28 18:29:00 2022	1656433740	83	34	117	34
Tue Jun 28 18:28:04 2022	1656433684	92	26	118	26
Tue Jun 28 18:28:34 2022	1656433714	85	33	118	33
Tue Jun 28 18:29:45 2022	1656433785	86	33	120	33
Tue Jun 28 18:26:44 2022	1656433604	66	53	120	53
Tue Jun 28 18:28:43 2022	1656433723	101	24	124	24
Tue Jun 28 18:28:12 2022	1656433692	98	26	125	26
Tue Jun 28 18:30:12 2022	1656433812	98	27	125	27
Tue Jun 28 18:27:12 2022	1656433632	99	26	125	26
Tue Jun 28 18:27:25 2022	1656433645	101	25	126	25
Tue Jun 28 18:29:10 2022	1656433750	100	25	126	25
Tue Jun 28 18:27:17 2022	1656433637	93	32	126	32
Tue Jun 28 18:29:38 2022	1656433778	100	26	126	26
Tue Jun 28 18:29:38 2022	1656433778	100	26	126	26
Tue Jun 28 18:27:12 2022	1656433632	101	25	126	25
Tue Jun 28 18:27:17 2022	1656433637	93	34	126	33
Tue Jun 28 18:27:17 2022	1656433637	94	33	126	33
Tue Jun 28 18:28:12 2022	1656433692	103	24	128	24
Tue Jun 28 18:28:35 2022	1656433715	97	31	128	30
Tue Jun 28 18:28:35 2022	1656433715	95	32	128	32
Tue Jun 28 18:28:35 2022	1656433715	97	32	128	31
Tue Jun 28 18:29:45 2022	1656433785	97	32	129	31
Tue Jun 28 18:29:45 2022	1656433785	97	32	129	31
Tue Jun 28 18:28:35 2022	1656433715	101	28	129	28
Tue Jun 28 18:28:25 2022	1656433705	100	30	130	30
Tue Jun 28 18:28:25 2022	1656433705	100	30	130	30
Tue Jun 28 18:29:22 2022	1656433762	102	30	131	30
Tue Jun 28 18:28:35 2022	1656433715	99	32	131	32
Tue Jun 28 18:28:35 2022	1656433715	101	32	133	31
Tue Jun 28 18:29:22 2022	1656433762	102	31	133	31
Tue Jun 28 18:29:19 2022	1656433759	94	39	133	38
Tue Jun 28 18:30:14 2022	1656433814	101	32	133	32
Tue Jun 28 18:30:16 2022	1656433816	100	33	133	33
Tue Jun 28 18:30:14 2022	1656433814	101	33	133	33
Tue Jun 28 18:30:14 2022	1656433814	101	33	134	33
Tue Jun 28 18:30:16 2022	1656433816	101	33	134	33
Tue Jun 28 18:30:14 2022	1656433814	100	35	135	35
Tue Jun 28 18:28:18 2022	1656433698	99	36	135	36
Tue Jun 28 18:30:16 2022	1656433816	101	34	135	34
Tue Jun 28 18:28:18 2022	1656433698	97	38	135	38
Tue Jun 28 18:29:26 2022	1656433766	101	35	135	34
Tue Jun 28 18:30:14 2022	1656433814	100	35	135	35
Tue Jun 28 18:27:05 2022	1656433625	101	35	136	35
Tue Jun 28 18:28:18 2022	1656433698	100	36	136	36
Tue Jun 28 18:27:05 2022	1656433625	103	33	136	33
Tue Jun 28 18:27:05 2022	1656433625	102	34	136	34
Tue Jun 28 18:29:53 2022	1656433793	102	35	137	35
Tue Jun 28 18:29:53 2022	1656433793	102	35	137	35
Tue Jun 28 18:28:18 2022	1656433698	100	37	137	37
Tue Jun 28 18:29:53 2022	1656433793	102	36	137	35
Tue Jun 28 18:29:53 2022	1656433793	102	36	138	34
Tue Jun 28 18:29:22 2022	1656433762	101	39	139	39
