starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 19:45:57 2022	1656438357	63	21	83	20
Tue Jun 28 19:44:26 2022	1656438266	63	21	84	21
Tue Jun 28 19:44:49 2022	1656438289	63	20	84	20
Tue Jun 28 19:44:23 2022	1656438263	63	21	84	21
Tue Jun 28 19:45:58 2022	1656438358	63	21	84	21
Tue Jun 28 19:44:26 2022	1656438266	64	20	84	20
Tue Jun 28 19:44:48 2022	1656438288	63	21	84	21
Tue Jun 28 19:44:50 2022	1656438290	63	21	84	21
Tue Jun 28 19:45:58 2022	1656438358	63	21	84	21
Tue Jun 28 19:44:26 2022	1656438266	64	20	84	20
Tue Jun 28 19:44:24 2022	1656438264	63	21	84	21
Tue Jun 28 19:44:48 2022	1656438288	64	21	84	21
Tue Jun 28 19:44:48 2022	1656438288	63	21	85	21
Tue Jun 28 19:45:59 2022	1656438359	64	21	85	21
Tue Jun 28 19:45:58 2022	1656438358	63	21	85	21
Tue Jun 28 19:45:58 2022	1656438358	64	21	85	21
Tue Jun 28 19:45:57 2022	1656438357	64	21	85	21
Tue Jun 28 19:45:56 2022	1656438356	64	21	85	21
Tue Jun 28 19:44:25 2022	1656438265	64	21	85	21
Tue Jun 28 19:44:48 2022	1656438288	64	21	85	21
Tue Jun 28 19:45:58 2022	1656438358	64	21	85	21
Tue Jun 28 19:44:23 2022	1656438263	64	20	85	20
Tue Jun 28 19:45:58 2022	1656438358	64	21	85	21
Tue Jun 28 19:45:56 2022	1656438356	64	21	85	20
Tue Jun 28 19:44:48 2022	1656438288	62	23	85	22
Tue Jun 28 19:44:46 2022	1656438286	64	21	85	21
Tue Jun 28 19:44:47 2022	1656438287	64	21	85	21
Tue Jun 28 19:44:24 2022	1656438264	64	21	85	21
Tue Jun 28 19:44:24 2022	1656438264	64	21	85	21
Tue Jun 28 19:45:58 2022	1656438358	65	21	85	20
Tue Jun 28 19:45:57 2022	1656438357	64	21	85	21
Tue Jun 28 19:44:48 2022	1656438288	64	21	85	21
Tue Jun 28 19:44:23 2022	1656438263	65	21	85	21
Tue Jun 28 19:45:57 2022	1656438357	64	21	85	21
Tue Jun 28 19:44:23 2022	1656438263	64	21	85	21
Tue Jun 28 19:45:57 2022	1656438357	64	21	85	21
Tue Jun 28 19:44:48 2022	1656438288	64	21	85	21
Tue Jun 28 19:44:50 2022	1656438290	64	21	85	21
Tue Jun 28 19:44:26 2022	1656438266	64	21	85	21
Tue Jun 28 19:44:47 2022	1656438287	65	21	85	21
Tue Jun 28 19:45:56 2022	1656438356	65	21	85	21
Tue Jun 28 19:45:57 2022	1656438357	64	21	85	21
Tue Jun 28 19:44:48 2022	1656438288	65	21	86	21
Tue Jun 28 19:44:25 2022	1656438265	65	21	86	21
Tue Jun 28 19:44:24 2022	1656438264	65	21	86	21
Tue Jun 28 19:44:47 2022	1656438287	64	21	86	21
Tue Jun 28 19:45:58 2022	1656438358	64	21	86	21
Tue Jun 28 19:44:49 2022	1656438289	65	20	86	20
Tue Jun 28 19:44:47 2022	1656438287	64	21	86	21
Tue Jun 28 19:45:57 2022	1656438357	65	21	86	21
Tue Jun 28 19:45:37 2022	1656438337	62	23	86	23
Tue Jun 28 19:44:24 2022	1656438264	65	21	86	21
Tue Jun 28 19:45:57 2022	1656438357	65	21	86	21
Tue Jun 28 19:44:48 2022	1656438288	65	21	86	21
Tue Jun 28 19:45:57 2022	1656438357	65	21	86	21
