starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:07:43 2022	1656432463	69	30	99	22
Tue Jun 28 18:07:50 2022	1656432470	189	21	210	21
Tue Jun 28 18:09:28 2022	1656432568	193	29	222	29
Tue Jun 28 18:11:24 2022	1656432684	185	106	290	105
Tue Jun 28 18:10:01 2022	1656432601	191	101	292	101
Tue Jun 28 18:08:07 2022	1656432487	192	105	297	104
Tue Jun 28 18:11:26 2022	1656432686	199	100	299	100
Tue Jun 28 18:10:23 2022	1656432623	186	114	300	112
Tue Jun 28 18:11:40 2022	1656432700	208	93	300	93
Tue Jun 28 18:08:25 2022	1656432505	198	103	301	100
Tue Jun 28 18:11:02 2022	1656432662	211	92	303	91
Tue Jun 28 18:10:50 2022	1656432650	190	116	305	114
Tue Jun 28 18:10:37 2022	1656432637	205	101	306	100
Tue Jun 28 18:08:54 2022	1656432534	194	114	308	114
Tue Jun 28 18:10:54 2022	1656432654	197	118	315	104
Tue Jun 28 18:11:02 2022	1656432662	199	116	315	112
Tue Jun 28 18:08:54 2022	1656432534	198	120	318	118
Tue Jun 28 18:08:21 2022	1656432501	211	112	323	107
Tue Jun 28 18:09:28 2022	1656432568	302	23	325	23
Tue Jun 28 18:09:42 2022	1656432582	204	121	325	106
Tue Jun 28 18:09:42 2022	1656432582	173	201	374	201
Tue Jun 28 18:09:45 2022	1656432585	201	181	382	181
Tue Jun 28 18:11:40 2022	1656432700	194	193	387	193
Tue Jun 28 18:09:38 2022	1656432578	196	193	389	192
Tue Jun 28 18:09:14 2022	1656432554	199	196	395	192
Tue Jun 28 18:08:35 2022	1656432515	187	210	397	209
Tue Jun 28 18:08:35 2022	1656432515	189	210	398	209
Tue Jun 28 18:10:14 2022	1656432614	296	103	399	102
Tue Jun 28 18:11:26 2022	1656432686	310	90	400	90
Tue Jun 28 18:09:11 2022	1656432551	184	216	400	208
Tue Jun 28 18:09:42 2022	1656432582	201	201	402	201
Tue Jun 28 18:11:26 2022	1656432686	309	93	403	93
Tue Jun 28 18:11:26 2022	1656432686	310	93	403	92
Tue Jun 28 18:09:14 2022	1656432554	204	200	403	198
Tue Jun 28 18:09:42 2022	1656432582	202	202	403	201
Tue Jun 28 18:10:14 2022	1656432614	301	103	403	101
Tue Jun 28 18:08:54 2022	1656432534	197	206	404	206
Tue Jun 28 18:10:14 2022	1656432614	303	101	404	99
Tue Jun 28 18:08:35 2022	1656432515	201	203	404	202
Tue Jun 28 18:11:40 2022	1656432700	295	109	404	109
Tue Jun 28 18:11:26 2022	1656432686	293	112	405	111
Tue Jun 28 18:10:14 2022	1656432614	307	98	405	96
Tue Jun 28 18:11:22 2022	1656432682	298	107	405	96
Tue Jun 28 18:09:44 2022	1656432584	204	202	406	202
Tue Jun 28 18:10:14 2022	1656432614	306	100	406	99
Tue Jun 28 18:09:14 2022	1656432554	204	202	406	198
Tue Jun 28 18:09:14 2022	1656432554	204	202	406	198
Tue Jun 28 18:07:49 2022	1656432469	303	103	407	102
Tue Jun 28 18:11:26 2022	1656432686	206	201	407	201
Tue Jun 28 18:11:02 2022	1656432662	292	115	407	112
Tue Jun 28 18:11:40 2022	1656432700	316	92	408	92
Tue Jun 28 18:08:54 2022	1656432534	198	210	408	210
Tue Jun 28 18:08:54 2022	1656432534	198	212	409	211
Tue Jun 28 18:11:40 2022	1656432700	317	93	409	93
Tue Jun 28 18:08:54 2022	1656432534	198	211	410	211
Tue Jun 28 18:11:02 2022	1656432662	295	115	410	112
Tue Jun 28 18:08:35 2022	1656432515	202	208	410	207
Tue Jun 28 18:09:14 2022	1656432554	214	197	411	193
Tue Jun 28 18:08:21 2022	1656432501	193	217	411	213
Tue Jun 28 18:08:21 2022	1656432501	299	113	412	108
Tue Jun 28 18:08:21 2022	1656432501	291	122	412	117
Tue Jun 28 18:08:21 2022	1656432501	301	112	413	107
Tue Jun 28 18:08:21 2022	1656432501	301	112	413	112
Tue Jun 28 18:09:28 2022	1656432568	291	122	413	120
Tue Jun 28 18:09:05 2022	1656432545	190	224	414	223
Tue Jun 28 18:09:08 2022	1656432548	305	110	415	107
Tue Jun 28 18:11:40 2022	1656432700	312	103	415	103
Tue Jun 28 18:07:49 2022	1656432469	395	21	416	21
Tue Jun 28 18:08:18 2022	1656432498	208	208	416	202
Tue Jun 28 18:09:08 2022	1656432548	305	113	418	108
Tue Jun 28 18:09:42 2022	1656432582	198	222	420	207
Tue Jun 28 18:07:49 2022	1656432469	400	21	421	21
Tue Jun 28 18:09:08 2022	1656432548	309	113	421	107
Tue Jun 28 18:09:42 2022	1656432582	301	121	421	106
Tue Jun 28 18:09:42 2022	1656432582	285	137	422	121
Tue Jun 28 18:10:29 2022	1656432629	205	220	425	215
Tue Jun 28 18:07:49 2022	1656432469	400	27	427	27
Tue Jun 28 18:10:18 2022	1656432618	360	99	459	98
Tue Jun 28 18:09:07 2022	1656432547	279	196	475	196
Tue Jun 28 18:08:35 2022	1656432515	189	291	480	291
Tue Jun 28 18:08:35 2022	1656432515	187	296	482	295
Tue Jun 28 18:09:45 2022	1656432585	295	187	483	187
Tue Jun 28 18:08:57 2022	1656432537	295	188	484	188
Tue Jun 28 18:10:24 2022	1656432624	195	289	484	288
Tue Jun 28 18:10:54 2022	1656432654	188	298	486	104
Tue Jun 28 18:11:40 2022	1656432700	296	190	487	190
Tue Jun 28 18:11:40 2022	1656432700	295	192	488	192
Tue Jun 28 18:11:40 2022	1656432700	295	192	488	192
Tue Jun 28 18:08:06 2022	1656432486	297	191	488	190
Tue Jun 28 18:10:24 2022	1656432624	381	107	489	107
Tue Jun 28 18:10:20 2022	1656432620	388	101	489	20
Tue Jun 28 18:09:14 2022	1656432554	190	299	489	299
Tue Jun 28 18:07:47 2022	1656432467	194	295	489	295
Tue Jun 28 18:10:08 2022	1656432608	195	294	490	294
Tue Jun 28 18:10:28 2022	1656432628	289	201	490	200
Tue Jun 28 18:09:34 2022	1656432574	197	293	491	292
Tue Jun 28 18:09:34 2022	1656432574	197	294	491	292
Tue Jun 28 18:08:06 2022	1656432486	302	189	491	189
Tue Jun 28 18:08:06 2022	1656432486	303	189	491	188
Tue Jun 28 18:09:24 2022	1656432564	298	194	492	194
Tue Jun 28 18:10:28 2022	1656432628	289	202	492	202
Tue Jun 28 18:08:06 2022	1656432486	303	189	492	188
Tue Jun 28 18:10:36 2022	1656432636	210	283	493	283
Tue Jun 28 18:09:34 2022	1656432574	200	293	494	292
Tue Jun 28 18:09:14 2022	1656432554	193	300	494	299
Tue Jun 28 18:10:52 2022	1656432652	295	199	494	199
Tue Jun 28 18:10:54 2022	1656432654	190	304	495	301
Tue Jun 28 18:10:46 2022	1656432646	186	310	495	308
Tue Jun 28 18:10:53 2022	1656432653	202	294	495	290
Tue Jun 28 18:10:24 2022	1656432624	207	289	496	288
Tue Jun 28 18:10:20 2022	1656432620	194	302	496	302
Tue Jun 28 18:09:42 2022	1656432582	189	307	496	306
Tue Jun 28 18:10:22 2022	1656432622	392	104	496	104
Tue Jun 28 18:11:22 2022	1656432682	190	307	497	307
Tue Jun 28 18:10:14 2022	1656432614	390	107	497	107
Tue Jun 28 18:10:24 2022	1656432624	195	302	497	301
