seconds	current_frontend	desired_frontend	current_traefik	desired_traefik
1656355512	1.0	1.0	1.0	1.0
1656355514	1.0	1.0	1.0	1.0
1656355515	1.0	1.0	1.0	1.0
1656355516	1.0	1.0	1.0	1.0
1656355517	1.0	1.0	1.0	1.0
1656355518	1.0	1.0	1.0	1.0
1656355519	1.0	1.0	1.0	1.0
1656355520	1.0	1.0	1.0	1.0
1656355521	1.0	1.0	1.0	1.0
1656355522	1.0	1.0	1.0	1.0
1656355523	1.0	1.0	1.0	1.0
1656355524	1.0	1.0	1.0	1.0
1656355525	1.0	1.0	1.0	1.0
1656355526	1.0	1.0	1.0	1.0
1656355527	1.0	1.0	1.0	1.0
1656355528	1.0	1.0	1.0	1.0
1656355529	1.0	1.0	1.0	1.0
1656355530	1.0	1.0	1.0	1.0
1656355531	1.0	1.0	1.0	1.0
1656355532	1.0	1.0	1.0	1.0
1656355533	1.0	1.0	1.0	1.0
1656355534	1.0	1.0	1.0	1.0
1656355535	1.0	1.0	1.0	1.0
1656355536	1.0	1.0	1.0	1.0
1656355537	1.0	1.0	1.0	1.0
1656355538	1.0	1.0	1.0	1.0
1656355539	1.0	1.0	1.0	1.0
1656355540	1.0	1.0	1.0	1.0
1656355541	1.0	1.0	1.0	1.0
1656355542	1.0	1.0	1.0	1.0
1656355543	1.0	1.0	1.0	1.0
1656355544	1.0	1.0	1.0	1.0
1656355545	1.0	1.0	1.0	1.0
1656355546	1.0	1.0	1.0	1.0
1656355547	1.0	1.0	1.0	1.0
1656355548	1.0	1.0	1.0	1.0
1656355549	1.0	1.0	1.0	1.0
1656355550	1.0	1.0	1.0	1.0
1656355551	1.0	1.0	1.0	1.0
1656355552	1.0	1.0	1.0	1.0
1656355553	1.0	1.0	1.0	1.0
1656355554	1.0	1.0	1.0	1.0
1656355555	1.0	1.0	1.0	1.0
1656355556	1.0	1.0	1.0	1.0
1656355557	1.0	1.0	1.0	1.0
1656355558	1.0	1.0	1.0	1.0
1656355559	1.0	1.0	1.0	1.0
1656355560	1.0	1.0	1.0	1.0
1656355561	1.0	1.0	1.0	1.0
1656355562	1.0	1.0	1.0	1.0
1656355563	1.0	1.0	1.0	1.0
1656355564	1.0	1.0	1.0	1.0
1656355565	1.0	1.0	1.0	1.0
1656355566	1.0	1.0	1.0	1.0
1656355567	1.0	1.0	1.0	1.0
1656355568	1.0	1.0	1.0	1.0
1656355569	1.0	1.0	1.0	1.0
1656355570	1.0	1.0	1.0	1.0
